data_subset,amount_donated,unique_donations,total_amount_donated,,,,,,
ftm_all_projects,Dust,157,2.51083699,,,,,,
ftm_all_projects,<= 0.01,390,127.0479408,,,,,,
ftm_all_projects,<= 0.1,1643,2115.857932,,,,,,
ftm_all_projects,<= 1,5271,33806.65067,,,,,,
ftm_all_projects,<= 10,7715,117260.7124,,,,,,
ftm_all_projects,<= 25,729,32032.57349,,,,,,
ftm_all_projects,<= 50,386,29530.14846,,,,,,
ftm_all_projects,<= 75,96,9663.99569,,,,,,
ftm_all_projects,<= 100,73,13506.75,,,,,,
ftm_all_projects,<= 200,75,14735.186,,,,,,
ftm_all_projects,<= 300,80,21291.85,,,,,,
ftm_all_projects,<= 400,12,5827.3,,,,,,
ftm_all_projects,<= 500,14,8296.7,,,,,,
ftm_all_projects,<= 1000,16,16553,,,,,,
ftm_all_projects,Over 1000,8,20448.29819,,,,,,
dai_all_projects,Dust,2,0.089,,,,,,
dai_all_projects,<= 0.1,21,34.7503545,,,,,,
dai_all_projects,<= 1,295,1306.481502,,,,,,
dai_all_projects,<= 10,295,4089.008172,,,,,,
dai_all_projects,<= 25,35,1028.421,,,,,,
dai_all_projects,<= 50,20,837.703,,,,,,
dai_all_projects,<= 75,20,1025.86,,,,,,
dai_all_projects,<= 100,0,0,,,,,,
dai_all_projects,<= 200,1,199.7352087,,,,,,
dai_all_projects,<= 1000,1,1000,,,,,,
revoke_cash,Dust,78,0.0453790225,,,,,,
revoke_cash,<= 0.01,244,2.349917852,,,,,,
revoke_cash,<= 0.1,757,62.92427713,,,,,,
revoke_cash,<= 1,2433,2015.106911,,,,,,
revoke_cash,<= 10,2277,9632.858931,,,,,,
revoke_cash,<= 25,150,2466.87117,,,,,,
revoke_cash,<= 50,59,2136.04,,,,,,
revoke_cash,<= 75,26,1532.555,,,,,,
revoke_cash,<= 100,4,346,,,,,,
revoke_cash,<= 200,1,110,,,,,,
revoke_cash,<= 300,5,1543,,,,,,
loan_shark,Dust,57,0.0312660225,,,,,,
loan_shark,<= 0.01,140,1.335587853,,,,,,
loan_shark,<= 0.1,353,26.08306661,,,,,,
loan_shark,<= 1,1784,1566.72112,,,,,,
loan_shark,<= 10,1742,7631.793546,,,,,,
loan_shark,<= 25,218,4206.19,,,,,,
loan_shark,<= 50,109,3314.11,,,,,,
loan_shark,<= 75,10,580.51,,,,,,
loan_shark,<= 100,1,100,,,,,,
loan_shark,<= 200,1,110,,,,,,
loan_shark,<= 300,5,1310,,,,,,
loan_shark,<= 400,1,400,,,,,,
symphony_finance,Dust,54,0.0294660225,,,,,,
symphony_finance,<= 0.01,179,1.685257853,,,,,,
symphony_finance,<= 0.1,410,30.65811961,,,,,,
symphony_finance,<= 1,1851,1604.617058,,,,,,
symphony_finance,<= 10,1843,7977.447204,,,,,,
symphony_finance,<= 25,326,5844.8345,,,,,,
symphony_finance,<= 50,160,4965.615,,,,,,
symphony_finance,<= 75,11,652.51,,,,,,
symphony_finance,<= 100,2,198,,,,,,
symphony_finance,<= 200,4,610,,,,,,
symphony_finance,<= 300,4,1064,,,,,,
symphony_finance,<= 400,1,400,,,,,,
fantom_names,Dust,107,0.0702800225,,,,,,
fantom_names,<= 0.01,270,2.678717852,,,,,,
fantom_names,<= 0.1,726,59.29260615,,,,,,
fantom_names,<= 1,2926,2500.498127,,,,,,
fantom_names,<= 10,2331,10141.14546,,,,,,
fantom_names,<= 25,130,2200.82117,,,,,,
fantom_names,<= 50,61,2039.998346,,,,,,
fantom_names,<= 75,20,1111,,,,,,
fantom_names,<= 100,3,248,,,,,,
fantom_names,<= 200,3,470,,,,,,
fantom_names,<= 300,19,5060,,,,,,
