application_round,project_wallet,last_updated,project_id,title,description,website,github_user,project_github,project_twitter,previous_funding,team_size,verified_twitter_or_github,links_to_github_or_org,created_at,updated_at
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x95a807bcab5a16901628acf90fc3057061a3fce9,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:45,CashmereLabs,Cross-chain DEX aggregator built top on Layerzero.,https://cashmere.exchange,cashmerelabs,cashmere-labs,CashmereLabs,USDT,10,Yes,"https://github.com/cashmere-labs , https://github.com/cashmerelabs",2023-01-15 21:29:59,2023-01-15 21:29:59
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xeed99e93e073c092131c245c3fda23781563d67d,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:46,Zk- Block | Tools for Zk & Web3 Dapps,"zkblock started as a boilerplate for developing zk dapps using circom ( groth and plonk).

It provides two basic apps for zero knowledge ( age verification, zk voting using semaphore). Since then the project has evolved to include blog and other tools for solidity and zk ecosystem. 

The goal of zk block is educate and help users to develop quality zk and web3 apps. 

With recent developments in zk-evm ecosystem, we will work to provide tools and boilerplate to work with zk-evm such polygon zk-evm and new paradigms like polybase. 

All the project related work can be found at - 
https://boilerplate.zkblock.app/

",https://www.zkblock.app,heypran,,,Open Source,1-2,It was verified before on centralized gitcoin website,"https://github.com/heypran, https://github.com/heypran/zk-block",2023-01-06 21:03:47,2023-01-06 21:03:47
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x6a3738c6299f45c31697acea647d49edcc9c28a4,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:187,web3swift,"A full-featured native iOS/macOS library that provides Web3 functionality in Swift with native ABI parsing and smart contract interactions on the Ethereum network.

We are working on a universal library that provides web3 functionalities in Swift language so that developers can build full-featured native dApps on the Mac/iOS ecosystem. 

Developers can find out-of-box functionalities that they usually need in our library, such as web3 web view kit, ABI parsing and decoding, smart contract interactions, etc. Moreover, since Swift allows compilation to WebAssembly, the library also supports WebAssembly. This allows iOS/MacOS developers to work in their native interfaces. As a result, the library greatly improves developer productivity, and helps fulfill the vision of decentralized applications.

There are several other open-source projects in the field of web3swift, such as [Web3 (0.4.1)](https://github.com/Boilertalk/Web3.swift), [Web3Swift.io](https://github.com/zeriontech/Web3Swift), [web3swift.pod](https://github.com/bankex/web3swift), etc. But in terms of the technologies adopted, our library is yet the most advanced one thaㄙ most of them, since we have full support of such features as **TxPool, ENS, event loops, etc**. Our library is therefore more widely used by the community.


We provide the community with **convenient tools** to work with Ethereum blockchain in Swift. Developers can therefore attain the ability to **quickly create secure decentralized applications** for Apple devices, without studying cryptography beforehand. This allows developers to focus on the content quality and UX/UI in DApps, which in turn **increases the adoption** of Ethereum blockchain and facilitates community growth.

The library was an essential part in several winning projects at ETHBerlin2018 and ETHDenver2019. We made it possible to work with Ethereum from mobile devices. Nowdays, our library is one of the most used iOS/MacOS libraries for Ethereum, and it was used in almost all ETH-related hackhathons.

Our project is in great demand, more than 10 dApps have been using our [codes in production](https://github.com/matter-labs/web3swift#projects-that-are-using-web3swift), such as [Loopring](https://github.com/Loopring/loopr-ios?files=1), [PeepETH](https://github.com/matter-labs/PeepethClient), [ENSWallet](https://github.com/barrasso/enswallet), and many others. We have [more than 1000 references](https://github.com/search?p=4&amp;q=pod+%27web3swift%27&amp;type=Code) in GitHub.

As the library is so popular, our users also keep pushing for updates. There are  [several new features requests (25 open issues for now)](https://github.com/matter-labs/web3swift/issues). But since this is the team's open-source side project, we can&#39;t spend the money we raised with Matter Labs to support it, especially when it&#39;s unrelated to the main goal of Matter Labs: To scale Ethereum.

We already put in a vast amount of work to support the most used functionalities, including the following:

- ⚡ Swift implementation of [web3.js](https://github.com/ethereum/web3.js/) functionality
- 💭 Interaction with remote node via **JSON RPC**
- 🔐 Local **keystore management** (geth compatible)
- 🤖 Smart-contract **ABI parsing**
- 🔓 **ABI deconding** (V2 is supported with return of structures from public functions. Part of 0.4.22 Solidity compiler)
- 🕸 **(ENS) support** - a secure &amp; decentralised way to address resources both on and off the blockchain using simple, human-readable names
- 🔄 **Smart contracts interactions** (read/write)
- ⛩ **Infura support** , partial Websockets API support
- ⚒ **Parsing TxPool** content into native values (ethereum addresses and transactions) - easy to get pending transactions
- 🖇 **Event loops** functionality
- 📱 Supports Web3View functionality (WKWebView with **injected &quot;web3&quot; provider** )
- 🕵️‍♂️ Possibility to **add or remove &quot;middleware&quot; that intercepts** , modifies and even **cancel transaction** workflow on stages ""before assembly"", ""after assembly""and ""before submission""
- ✅ **Literally following the standards** (BIP, EIP, etc):

    - [**BIP32**](https://github.com/bitcoin/bips/blob/master/bip-0032.mediawiki) **(HD Wallets),**[**BIP39**](https://github.com/bitcoin/bips/blob/master/bip-0039.mediawiki) **(Seed phrases),**[**BIP44**](https://github.com/bitcoin/bips/blob/master/bip-0044.mediawiki) **(Key generation prefixes)**
  - [**EIP-20**](https://github.com/ethereum/EIPs/blob/master/EIPS/eip-20.md) (Standart interface for tokens - ERC-20), [**EIP-67**](https://github.com/ethereum/EIPs/issues/67) (Standard URI scheme), [**EIP-155**](https://github.com/ethereum/EIPs/blob/master/EIPS/eip-155.md) (Replay attacks protection)

    - **And many others** _(For details about this EIP&#39;s look at [Documentation page](https://github.com/matter-labs/web3swift/blob/master/Documentation/))_: EIP-681, EIP-721, EIP-165, EIP-777, EIP-820, EIP-888, EIP-1400, EIP-1410, EIP-1594, EIP-1643, EIP-1644, EIP-1633, EIP-721, EIP-1155, EIP-1376
- 🗜 **Batched requests** in concurrent mode

- **RLP encoding** Base58 encoding scheme support
",https://github.com/web3swift-team/web3swift/,skywinder,,skywinder,Ethereum Foundation + Gitcoin,3 devs,yes,https://github.com/skywinder + https://github.com/web3swift-team/web3swift,2023-01-13 15:55:47,2023-01-13 15:55:47
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x75ded588d2a4734d0a61b9953a3c4e6c6d00abc4,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:184,Proof of Integrity,"We are bringing the benefits of blockchain technology to vulnerable sectors to generate an equitable, inclusive and sustainable society. We will use the funds to make #aPRENDOcripto, a personal finances and crypto training program in low-income neighborhoods of Buenos Aires city.







#aPRENDOcripto: Blockchain for all

 

The program consists of 4 workshops with theoretical and practical content where the participants will learn about personal finances, blockchain technology and possible use cases, with the close supervision of mentors to facilitate the learning experience.

 



We aim to:

 

• Give a brief introduction to basic personal finances so the participants can have the necessary tools to take care of their income.

 

• Introduce participants to blockchain technology and the crypto ecosystem, sharing its use cases, contributing to an education for the future and helping to bridge the technology gap.

 

• Create and encourage a crypto community in the neighborhoods, uniting young people with the same interests to promote collaborative learning.

 

• Make the participants interact with decentralized technologies, facilitating access to the creation of a profile in Proof of Humanity, a social identity verification system for humans on Ethereum, where they will acquire a first contact with the world of cryptocurrencies by receiving the UBI token and become part of a DAO.







What we did and what we will do



With the funds we received in previous Gitcoin grants we were able to:



🚀 Put together a team that will help us achieve the goals we have planned. Our team is made up of professionals who share a passion for blockchain technology and a socially conscious outlook. 



🚀 Set up one edition of #aPRENDOcripto which has already been completed in May 2022 and start to deliver another one that is taking place right now (will finish on Sep. 13th) at Barrio Mugica, a low-income neighborhood of Buenos Aires. 



🚀 We are launching the third edition of #aPRENDOcripto in Villa Lugano (Buenos Aires) that will take place in Sep. 20th.



🚀 Paid for all Proof of Humanity profiles generated (Ethereum mainnet fees, ~0.03 ETH per participant)



Our goal is to deploy 20 more training 🎓 programs in a year, to do so we will need:



* 2 or more venues to make the workshops (we already have one confirmed in Villa Lugano)

* 15 mentors (volunteers)

* 6 teachers (volunteers)

* 18k USD on operative costs (900 USD per edition)

* 8k USD to onboard 400 participants to Proof of Humanity (Ethereum mainnet fees on 2022, and Gnosis fees on 2023)

* 42k USD to cover annual headcount expenses



About Proof Of Integrity

 

• We believe in the social impact of the blockchain.

We want to transfer the benefits of blockchain technology to socio-economically vulnerable communities to generate a more equitable, inclusive and sustainable society.

 

• We promote technological inclusion

We are going to design and promote initiatives that reduce the technological gap and generate actual opportunities of inclusion and development.

 

• Proof of Humanity

We are integrated with Proof of Humanity, a digital identity verification platform on the blockchain, through which the UBI token is distributed.

 







In Proof of Integrity we connect the unconnected.



Get in touch with us.  We'd love to hear from you.



✉️ info@proofofintegrity.org

📣 Follow us on Instagram, Twitter and LinkedIn for more updates!

",https://www.proofofintegrity.org/,,,proof_integrity,"Gitcoin community, individual donors, Ethereum foundation grant and EthColombia quadratic funding",10,"Yes, Twitter. I could verify Github as well. ",Organization: https://github.com/BEON-Tech User: https://github.com/michocohen,2023-01-13 14:31:23,2023-01-13 14:31:23
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x01d79bceaeaadfb8fd2f2f53005289cfcf483464,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:148,Lenstube,"Decentralized video-sharing social media platform, built using Lens protocol. 🌿

We aimed to develop a decentralized video-sharing app, where content creators own their video content. By storing videos permanently in Arweave and the metadata stored permanently on-chain, no one can restrict users from creating content of their choice. Creators can always monetize their content with various means like nft modules and tips.

- Features


📺 Create channels.

📀 Publish any video content or NFTs.

🔨 Collect video as NFT.

🪞 Mirror and share videos across Lens Dapps.

💰 Set membership fees to your channel.

🔔 Notifications about new members, comments, mirrors, and mints.

💲 Customize who can collect your video and associated fees.

❤️ Support any creator by sending a Tip.

👍 Like and comment on videos.

🎥 Short videos called Bytes

🌿 Watch later and recently watched videos library.

🏷 Video Categories

and more.

 - Links

https://twitter.com/lenstubexyz

",https://lenstube.xyz,sasicodes,lenstube-xyz,lenstubexyz,Nil,1,Yes,"User Account - sasicodes, Organization Account - lenstube-xyz",2023-01-12 06:50:23,2023-01-12 06:50:23
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xb67fd6f4b908d702c2cf0e2b9d30d52d4ea5b2bc,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:211,ECHO,"ECHO is the first decentralized social engagement protocol based on Arweave. 

Our goal is to provide the fundamental infrastructure of Web3 social by introducing the first comment widget that can be deployed on any Web3 website with permanent data storage, so that users can speak up for themselves in a decentralized, permissionless, and censorship-resistant environment. It is our conviction that every person deserves to be heard, and we strive to create the right tool to make that happen. “Long live our opinion”, as our slogan goes.

More importantly, as we are providing a multi-chain, multi-platform, and multi-disciplinary solution, ECHO will energize the social mobility in an aggregated manner to address the current social segregation issue in Web3. And our protocol-based data structure of social activities both on-chain and off-chain will be the cornerstone of the future Web3 social paradigm.

Our opinion is our intellectual assets. People don’t own their voice in Web2, and people have no tool to own their voice in Web3. People are awakening that decentralization should not be limited to finance, but also in other fields. And we need a product so that people can speak freely and equally without worrying about censorship and privacy issue. And Arweave is a much better storage solution than IPFS that the technology is mature to make this happen. 

ECHO provides a neutral commenting tool that can be used to comment on anything, including Gitcoin grants.

We have established partnerships with companies and products such as Arweave, .bit, everPay, Mirror, Mail3.me and permaFacts.
",https://0xecho.com,airyland,0x-echo,0x_ECHO,grants,4,Yes,https://github.com/airyland  https://github.com/0x-echo,2023-01-15 14:27:59,2023-01-15 14:27:59
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xced950cdd8d7cc656a44d7c834a21a1a4239c491,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:241,Know Your Degens Oracles - doing compliance the DeFi way 🫡,"PROBLEM 🤕

Institutions, DAOs and Web3 projects, all encounter the same problem: How not to accept ""dirty"" money on their Smart Contract without killing usability with a tedious KYC process?

SOLUTION 💡
Integrating KYD Oracle into your Smart Contract allows it not to accept transactions from blacklisted addresses by your chosen set of rules, i.e. addresses that have ever interacted with Tornado Cash or those flagged by forensic companies 🔎
How's that possible? Every time a wallet wants to send a transaction via your protocol RedStone KYD Oracle attaches to that transaction's call-data a note if a given address should be allowed to interact with the Smart Contract or if this transaction should be refused. Hence, the UX stays the same and you are protected against known malicious actors 😎 
KYD Oracle is available on all EVM-compatible L1s & L2s.
Check out the Twitter thread explaining how that tool could facilitate entrance of institutions into DeFi 👇 

https://twitter.com/redstone_defi/status/1599803069058777093 (There's a blog post too)
Demo video 👇
https://drive.google.com/file/d/12ijNmgSOin0pUokbDaTmqKk4WuwE0zyE/view?usp=sharing

HOW WE WILL USE THE MONEY
We'd dedicate money to further development of the tool, security aspects as well as first implementations with Institutions, DAOs and legal companies 👨‍💼",https://coinbase-kyd-showroom.redstone.finance/,Kazik435,redstone-finance,redstone_defi,Bootstrapping based on infrastructure of RedStone,3,Yes,User: https://github.com/Kazik435 ; Organisation: https://github.com/redstone-finance,2023-01-17 09:00:11,2023-01-17 09:00:11
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xe6d7b9fb31b93e542f57c7b6bfa0a5a48efc9d0f,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:3,Chaineye,"ChainEye aims to build the world leading free and open source omnichain analytical tools for retail investors.  Launched in the Q4 2021, Chaineye has a total of over 100k user visits.
Currently, it has the following core functions:
 
BridgeEye - a multi-chain bridge comparison tool. Users can use this tool to find the optimal bridge option given the source chain, destination chain and the amount of asset. Supported Chains include ethereum, polygon, avalanche, bnb chain, aurora, fantom etc. 
 
CEX transfer fee -  Uses can check all the CEXs deposit and withdrawal status without logging into CEX. Users can find the cheapest route between CEX & On-chain transfer by sorting out the withdrawal fee. The data is updated every 10 minutes.
 
Multichain Gas - Users can check the gas history and hour distribution for various chains in one page.

ETH Staking - Users can find eth staking metrics such as 7 Days apy, effective apy, TVL, stakers, liquidity,  volume, rewards cycles etc. for different staking protocols. 

RPC List - Users can find the best public rpc in terms of height, latency , 24 hour status, provider information etc. We provide the most complete rpc public nodes in the market for the following chains: Etherum, BNB, Polygon, aurora, fantom etc. 

Stable Coins Dashboard- Key data metrics include native chains where stable coins are issued, price, month off peg , market cap ,market cap changes, collateral value, collateral composition, audit report etc. 

ChainMap(coming soon) - Users can find interesting participating opportunities on each chain such as yield farming, swap&lending,NFT mining, airdrop, DAO governenance etc. We will start with Optimism and expand to other chains later on.",https://Chaineye.tools,DeFiTeddy,DeFiEye,biteyecn,Gitcoin,7,Verified  Twitter ( Github verification has technical issues),"https://github.com/DeFiEye ,  https://github.com/DeFiTeddy, ",2023-01-09 05:15:23,2023-01-09 05:15:23
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x77d70a4df6436e1979986ecea54a95e3a0e21531,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:239,Phi,"Phi is the immersive social world created from ENS and on-chain/ off-chain wallet activities, enabling easy visualization of on-chain identities. It incentivizes users to interact with various Web3 protocols, which provides positive feedback to all protocols and accelerates the overall network effect of the Web3 ecosystem.

Our experience lets users generate their own personalized space using their ENS domain and allows them to claim in-game objects based on their wallet activity. Using the objects, users can build their own Web3 world to show off their on-chain identity.

Our world is a pixel world, designed by world-class pixel artist, eBoy (https://en.wikipedia.org/wiki/EBoy). eBoy’s accomplishments to date are unquestionable: They have been active as a pixel artist since the dawn of the Internet, and have collaborated with lots of top brands, including Saint Laurent, Paul Smith, Balenciaga, and more. Also, they co-founded Nouns and designed its iconic pixel art, which has become the symbolic CC0 IP representing web3.

After launched two times before on Gorli & Mumbai testnet, we just launched our product on Mainnet on 15 Dec 2022. As for our traction, we have 25k+ unique users, 1.15M+ Total In-Game Objects generated, US$ 12k Monthly Revenue from customers even though it's less than a month after launching our product. Also, Phi is featured by leading media, The Block, The Defiant, Bankless, Ethhub, and more.

Mindmap for Phi
・Phi Avatar
・Phi World Map 
・Music NFT Integration (royal.io & sound.xyz)
・Communication Features (Text chat/ Voice chat)
・Phi Dungeon Game

Team (Twitter Handle/ Position)
・0xshugo - Co-founder/ CEO
・ZkEther - Co-founder/ COO
・Zak_3939 - Co-founder/ dev lead
・eBoyArts - Pixel Lead
・open3x - Frontend Dev
・ta2nb - Pixel Artist (Final Fantasy, etc...)
・fuzuzu - Pixel Artist (Created famous Japanese Anime titles, such as Chainsaw Man, etc...)
・0xOzh - UI/UX Designer (co-founder of Zypsy)

Official URLs:
Website - https://philand.xyz/
Twitter -  https://twitter.com/phi_xyz
Lenster - https://lenster.xyz/u/philand
Discord - discord.gg/phi
Blog (Medium) - https://medium.com/@phi.xyz",https://philand.xyz,phi_xyz,PHI-LABS-INC,@phi_xyz,Self funding/ External funding/ / GR15,12,"Not yet, I'm not sure how can I do that. There was error",https://github.com/PHI-LABS-INC,2023-01-17 08:14:11,2023-01-17 08:14:11
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x698ccccb5947c54684e17545327a77b9103f1f7a,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:168,Maven Foundation ,"Maven Foundation is building Web 3.0 protocols, tools, and applications for the Creator Economy.

We are building a decentralized Video Streaming Platform Maven House .

Maven House is redefining physical and virtual experiences by providing a platform for vloggers, influencers, musicans, creators, artists and creators to create, manage, host physical and live-stream events where they can connect with their fans globally.

This gives artists complete control over their performance and monetization while also removing barriers for the audience. Platform is able to handle traffic for an event of any size, from anywhere in the world.

DEMO LINK : https://mavenhouse.io/

The Problem with existing Video Streaming Platforms

• Current Video Streaming Platforms are owned by Centralized Organizations like YouTube, Facebook(Meta), Twitch, etc. and the creators itself has no ownership of their content.
• It is difficult for streamers to make any earnings out of their content as these platforms levy 50%+ commissions from the user's revenue also the user himself has no option to earn royalties from his content.

Commission rates of centralized video streaming platforms.

• Twitch - 50% of subscription fees & 29% from Donations.
• YouTube - ~45%
• Facebook - ~30%

The Solution

The value of content should be decided by the audience & not by the platform. The incentivized platform for all users with multiple inbuilt streaming features.

• One Window that does it all
Maven House has all essential features like YouTube Chat, Video Preview, video editor, recent events, stream labels, and dashboard in one app so you can save your monitor real estate and CPU usage for something else.
• NFt Ticketing for Physical & Virtual Events
Creators can sell, host and schedule live or physical events with their fans and sell tickets in the form of NFTs.
• Memberships NFTs Or SuperFan 
The content creator can set up customized plans through his dashboard for their die-hard fans.
• Creators NFTs from Livestreams
Creators can create and can sell their streaming-video clips as an NFT with their fans.

Tech Stack

• Polygon for on-chain storage and NFTs minting.
• Livepeer for decentralized video streaming
• IPFS for file and metadata storage
• XMPT for chatting.
• Unlock Protocol for Membership and Ticket
• Next.js as a frontend framework
• TailwindCSS for design

Roadmap

2022 Q3
Ideate, design, prototype, test and refine of the user interface/web-flow
Release of MAVEN HOSUE beta to public test-net, and allow all users to test MAVEN HOUSE without any gas.
2022 Q4
Release main-net P2P Streaming platform with all in-built features like membership, audio-filter along with NFT minting and creation of tickets and events.
General availability of the MAVEN HOUSE Web app to public main-net, we will be hiring some devs to improve the dApp and make use of the Gitcoin funds as bug bounties to the devs.
2023 Q1
Official Launch of MAVEN HOUSE with Web/Desktop application.
Partnering with verified content creators worldwide.

Why a Gitcoin Grants?
• We are looking for full-stack developers to develop the dApp and make it more usable.
• We are looking for mobile app developers to develop and ship DeStreamLabs iOS and Android apps.

Social Media
Twitter: https://twitter.com/MavenFoundation
Discord : https://discord.gg/GF3N2fbapn
Telegram:  https://t.me/MavenFoundationChat
Instagram : https://www.instagram.com/maven.foundation/
",https://mavenhouse.io/,MavenFoundation,Maven-Foundation,MavenFoundation,Friends ,5,Yes,"https://github.com/MavenFoundation ,  https://github.com/Maven-Foundation",2023-01-12 20:41:47,2023-01-12 20:41:47
